BBL,ENERGY STAR Score,Calendar Year,Emisiones DOB,ranking
4026780001,96.0,2022,29.9,1474
2042500026,61.0,2022,216.1,13780
4157040040,,2022,163.1,
1016490009,64.0,2022,457.3,23665
4008350027,98.0,2022,320.9,9182
3067300001,61.0,2022,335.6,20419
4049467501,83.0,2022,308.6,12634
3037180001,58.0,2022,131.1,9687
4098150067,16.0,2022,596.9,33067
4096790052,71.0,2022,639.7,25041
4096930051,37.0,2022,762.8,32592
4098170001,32.0,2022,350.6,26679
3024250029,40.0,2022,148.7,13722
3024250026,51.0,2022,175.7,13342
2028010031,18.0,2022,275.5,25005
2027470024,36.0,2022,344.2,25828
2027470028,46.0,2022,328.2,23437
2027560050,44.0,2022,367.4,25319
2027550029,27.0,2022,319.0,26086
2027560001,53.0,2022,360.5,23321
2027560006,47.0,2022,300.7,21920
2028660091,87.0,2022,229.2,8048
2028660030,92.0,2022,292.7,9523
2028660034,61.0,2022,344.9,20792
2028400077,48.0,2022,340.0,23571
2028410089,25.0,2022,256.1,23106
2028400084,29.0,2022,308.2,25316
2026820001,33.0,2022,227.4,20146
2026730051,23.0,2022,180.7,18303
1020740033,81.0,2022,165.7,6669
1020750036,80.0,2022,228.3,9690
1020020067,7.0,2022,420.5,31214
4097940048,,2022,578.6,
3024120027,12.0,2022,202.8,21234
4003210011,29.0,2022,190.0,18091
1019290029,63.0,2022,735.9,28254
1019290017,1.0,2022,861.5,35476
2058334237,,2022,144.1,
4000960010,32.0,2022,233.6,20736
2023910063,,2022,90.6,
4040670015,,2022,542.8,
4004390027,,2022,180.8,
4050200003,71.0,2022,64.9,5578
1005450053,,2022,315.6,
4051400040,34.0,2022,259.7,22049
3002197501,76.0,2022,401.2,18357
4129580050,45.0,2022,166.3,13881
1014537502,63.0,2022,194.0,11917
3065877501,,2022,108.4,
3072980045,60.0,2022,344.3,21030
4017817502,,2022,107.8,
3023270019,,2022,107.6,
3034670005,,2022,108.0,
4012290122,14.0,2022,239.9,23455
4013310041,34.0,2022,311.5,24739
1005040011,52.0,2022,224.8,16309
2023540074,80.0,2022,77.7,4353
1012600028,71.0,2022,245.7,12983
1007600051,6.0,2022,871.6,35219
3087927502,,2022,109.2,
3076897502,97.0,2022,79.1,1988
1004720012,90.0,2022,48.8,2376
1004720019,88.0,2022,53.7,2712
1004720010,,2022,0.0,
1004720004,93.0,2022,53.8,2085
1004720022,,2022,0.0,
1004720023,7.0,2022,27.8,13072
1004720011,92.0,2022,54.7,2215
3037530004,,2022,61.7,
1004720015,71.0,2022,10.4,4800
2030870022,100.0,2022,36.3,321
4017027501,94.0,2022,89.6,2474
4002180013,72.0,2022,209.7,10716
1008390033,44.0,2022,118.8,11526
3028290047,86.0,2022,107.5,3998
4008020090,86.0,2022,40.3,2805
3010057501,38.0,2022,443.3,28498
3082150022,73.0,2022,402.2,19388
3075750068,25.0,2022,209.5,20103
2039300038,94.0,2022,77.6,2302
2039300033,10.0,2022,256.9,24879
3087070452,,2022,367.2,
4050037502,90.0,2022,97.1,3168
3071357501,100.0,2022,85.2,1150
3030740012,,2022,355.3,
2031980001,69.0,2022,205.7,11205
2033570248,74.0,2022,287.3,14290
3073257508,86.0,2022,117.8,4228
4012970050,20.0,2022,195.7,19761
3078000039,82.0,2022,89.2,4241
3024770001,,2022,104.9,
3031880056,,2022,71.6,
1006300012,56.0,2022,313.3,20639
1009960021,,2022,367.5,
1019017501,83.0,2022,247.6,9861
1006930064,23.0,2022,168.5,17406
1020870038,44.0,2022,204.3,16572
1021360106,100.0,2022,80.2,1067
1021180001,23.0,2022,263.2,23778
1020720064,7.0,2022,213.5,22578
1020710036,12.0,2022,406.7,30500
1021090041,15.0,2022,311.8,27170
1021140005,17.0,2022,308.9,26847
1021150001,9.0,2022,462.3,31842
1020880087,85.0,2022,125.1,4619
1020070002,25.0,2022,267.0,23698
1020870097,5.0,2022,362.4,29950
1020480021,100.0,2022,132.4,1962
1020830001,28.0,2022,435.1,29599
1020980023,100.0,2022,44.3,440
2032180035,30.0,2022,187.8,17806
1012720034,40.0,2022,629.0,31134
1012727502,47.0,2022,424.7,26552
5075770003,75.0,2022,156.5,7495
1006240041,82.0,2022,190.5,7514
1005520010,98.0,2022,93.0,2077
1007400001,,2022,2239.9,
1010090044,40.0,2022,868.2,32901
3067390057,97.0,2022,58.9,1672
2043400008,88.0,2022,102.1,3568
3004650033,,2022,0.0,
3004650029,,2022,0.0,
3009800075,18.0,2022,168.4,18053
3043680001,36.0,2022,169.2,15556
1020720001,22.0,2022,397.4,29343
1012430001,100.0,2022,54.2,618
2028660020,80.0,2022,197.0,8217
2028770516,96.0,2022,170.2,4178
2027990025,43.0,2022,238.9,19096
1007790057,93.0,2022,487.8,15128
1009090028,55.0,2022,557.9,27787
3064980030,96.0,2022,130.5,3062
3064980032,65.0,2022,158.6,9577
3007710110,34.0,2022,183.5,16890
3008120001,82.0,2022,88.4,4229
3008120020,82.0,2022,32.5,3330
1013057501,89.0,2022,1197.1,23755
2029260002,93.0,2022,791.0,19669
1007580028,,2022,707.8,
3088180043,37.0,2022,635.6,31561
4015450033,71.0,2022,528.4,23306
3008440013,94.0,2022,28.6,1676
2043370032,84.0,2022,317.7,12735
2043400086,73.0,2022,163.7,8186
3067660086,99.0,2022,124.6,2481
3002370020,100.0,2022,94.0,1258
1014140013,91.0,2022,94.2,2967
3025570001,,2022,0.0,
3025570003,,2022,0.0,
3021860001,6.0,2022,4893.4,36800
2024550059,44.0,2022,120.5,11605
2024550062,78.0,2022,98.8,5153
4013190021,92.0,2022,223.9,6847
3005020001,,2022,98.1,
3010020001,,2022,191.2,
2028340001,13.0,2022,2143.7,36326
3067667504,89.0,2022,340.4,12139
1005847501,,2022,630.1,
1007987503,60.0,2022,176.4,11511
3065637501,100.0,2022,43.5,430
3060500007,74.0,2022,129.2,6697
1018250051,84.0,2022,41.7,3124
1016770001,24.0,2022,324.9,26730
2028710002,10.0,2022,281.0,26187
1021420247,53.0,2022,183.2,13458
1012420055,,2022,1847.1,
4004060040,30.0,2022,186.2,17699
4097700024,19.0,2022,86.1,13616
4097690054,,2022,0.0,
4026030130,45.0,2022,337.7,24041
4018330215,,2022,415.3,
3018600074,96.0,2022,145.9,3457
3006317502,,2022,82.7,
3032000035,,2022,125.3,
3005080010,72.0,2022,61.3,5336
1005310045,,2022,130.6,
1007620061,62.0,2022,314.9,19177
1008690025,43.0,2022,205.2,16813
3048280022,,2022,647.6,
3029760060,31.0,2022,285.2,23850
4032587503,100.0,2022,41.9,406
1004730051,,2022,403.1,
1005440012,,2022,150.5,
4005897501,88.0,2022,247.2,8636
4005310060,90.0,2022,182.0,5592
3071690028,51.0,2022,538.5,28240
3016280021,92.0,2022,76.8,2542
2033110114,98.0,2022,142.2,3070
4050507504,99.0,2022,67.5,1521
2053860017,17.0,2022,180.7,19093
2025990128,,2022,47.0,
2025990123,,2022,37.0,
4001050012,,2022,184.5,
1010950024,,2022,103.1,
1015710035,,2022,6.7,
4050050059,47.0,2022,771.2,31408
4024310023,88.0,2022,212.8,7199
4017820005,94.0,2022,142.1,3625
1008410027,68.0,2022,450.6,22421
2057087501,68.0,2022,269.8,15068
3001470036,89.0,2022,374.8,13344
1012990041,50.0,2022,165.6,12886
1008410018,80.0,2022,264.1,11431
1007870065,93.0,2022,119.6,3212
1007600012,90.0,2022,445.4,15031
1007800010,82.0,2022,640.6,21611
1008370056,68.0,2022,312.6,17356
1007780020,84.0,2022,589.4,20156
1008710003,70.0,2022,879.1,27785
4004620053,81.0,2022,330.0,14146
4004620016,63.0,2022,309.2,18600
4004620161,,2022,15.5,
4097600027,79.0,2022,325.5,14617
1021090046,2.0,2022,567.9,33799
2028110024,61.0,2022,169.0,10914
1002300042,,2022,37.0,
1004200068,,2022,141.5,
1004257501,35.0,2022,232.9,20219
1004667502,1.0,2022,739.3,34955
1005290062,,2022,20.4,
1008110016,81.0,2022,426.8,17480
1008400058,87.0,2022,200.3,6859
1008670020,100.0,2022,204.0,3910
1013050023,33.0,2022,713.5,32671
1013440030,65.0,2022,639.5,26694
1018450014,81.0,2022,141.2,5775
1020650022,,2022,104.4,
1021347502,100.0,2022,134.3,2005
1022370064,100.0,2022,85.7,1158
2039980010,72.0,2022,381.1,18998
2046490021,100.0,2022,51.5,570
3012270036,82.0,2022,296.9,12367
3023410001,100.0,2022,55.5,648
3023680001,,2022,8.3,
3023780011,99.0,2022,103.3,2094
3027320005,97.0,2022,85.2,2078
1018810029,11.0,2022,272.8,25652
1020020101,41.0,2022,326.2,24250
1021360167,33.0,2022,739.6,32833
3005230018,81.0,2022,374.9,15828
1007590001,7.0,2022,566.9,33417
4156650001,83.0,2022,489.8,18499
4156610012,75.0,2022,674.2,24284
4017590030,58.0,2022,315.8,20268
4098200049,57.0,2022,316.6,20550
4097640082,74.0,2022,402.0,19039
4098200038,56.0,2022,321.5,21014
4015560033,86.0,2022,285.5,10721
4015120026,50.0,2022,505.1,27850
4015560043,76.0,2022,347.0,16416
3029500001,,2022,659.6,
